Rating,Weak_foot,Skill_Moves,Potential,ValueUnified
69,3,3,70,575000
70,3,1,70,425000
88,4,4,87,29500000
77,3,2,79,4000000
59,2,1,57,10000
69,3,3,69,325000
75,3,2,75,3800000
65,3,2,65,220000
76,3,2,75,900000
88,2,1,89,4500000
68,3,2,66,90000
76,4,1,75,2700000
77,1,1,77,1200000
66,3,2,64,160000
77,3,3,78,4000000
58,3,3,62,110000
74,3,3,76,4500000
74,3,2,73,550000
73,3,3,74,0
71,2,1,72,725000
58,2,1,58,10000
66,3,2,67,100000
78,3,2,77,2100000
82,2,1,83,3500000
77,2,1,76,525000
80,3,2,79,1700000
76,3,2,76,1000000
66,2,1,66,40000
82,4,2,79,4000000
80,3,4,78,6500000
73,4,2,73,1900000
87,2,4,88,36000000
81,3,4,81,6500000
67,2,2,67,100000
70,3,1,69,140000
71,3,3,70,750000
68,3,2,69,140000
63,4,2,62,100000
61,4,3,62,190000
70,2,1,70,425000
60,2,2,58,20000
45,2,1,46,0
57,3,1,57,10000
63,3,3,63,180000
68,2,2,68,270000
70,4,2,70,1000000
81,4,2,78,1400000
61,3,2,61,80000
75,3,1,75,450000
76,4,1,72,210000
63,3,2,62,160000
79,3,1,78,700000
74,3,2,73,0
70,3,2,71,325000
71,3,2,71,1600000
74,3,1,73,550000
63,3,1,63,20000
70,2,1,69,600000
76,3,2,76,3100000
65,3,2,65,350000
63,2,2,63,190000
61,3,1,61,130000
69,3,2,70,240000
70,3,2,66,150000
74,3,2,72,425000
84,4,3,83,12500000
72,2,1,73,950000
64,4,2,65,450000
67,3,3,66,200000
83,4,5,83,15500000
94,4,5,94,95500000
82,3,2,80,3500000
61,4,3,59,70000
74,3,2,73,950000
83,3,1,83,10500000
66,3,1,64,180000
70,3,1,68,120000
65,3,2,64,100000
73,3,3,71,650000
79,3,3,77,4300000
72,2,1,72,425000
73,2,3,71,270000
74,3,3,72,1600000
73,3,2,72,725000
70,4,2,71,500000
67,3,2,64,210000
90,4,4,88,27000000
71,3,2,68,280000
68,3,3,69,450000
72,4,2,72,425000
72,2,2,73,550000
71,3,2,71,725000
70,2,2,69,850000
71,3,2,72,2000000
78,3,3,78,4500000
69,3,3,69,450000
67,4,2,68,120000
72,3,2,71,1100000
73,4,3,71,1200000
77,3,2,77,1200000
71,3,2,70,575000
76,3,2,76,2300000
73,3,3,72,1800000
73,4,2,73,2100000
76,3,2,75,900000
64,5,4,64,190000
67,3,1,67,180000
77,2,1,76,3100000
72,2,2,72,950000
81,3,1,80,1000000
74,4,2,73,950000
88,3,1,86,10500000
75,3,1,74,1300000
69,4,2,69,475000
80,3,1,79,850000
68,4,2,68,575000
72,2,2,71,325000
72,3,1,71,160000
81,4,3,81,11000000
81,4,3,81,5500000
76,3,1,74,2300000
67,3,3,67,600000
75,3,3,75,3900000
67,3,2,66,40000
66,1,2,67,300000
70,3,4,71,1200000
71,4,2,71,1400000
70,2,2,68,525000
69,3,2,69,550000
70,4,3,70,600000
81,4,3,80,8000000
71,3,3,71,1500000
67,3,2,65,130000
67,2,1,66,90000
71,4,3,72,1400000
68,3,2,68,270000
78,4,2,75,2000000
66,4,3,66,280000
75,3,3,74,2000000
73,2,1,73,1600000
68,4,2,70,625000
67,3,3,66,270000
72,3,3,70,600000
67,2,3,68,425000
70,3,2,70,240000
75,4,3,75,2400000
69,3,3,68,375000
65,3,2,65,170000
82,2,3,80,1700000
73,3,2,71,750000
61,4,2,61,190000
71,4,2,72,1300000
69,2,3,75,5000000
70,2,1,72,1800000
69,4,2,69,425000
68,3,2,66,325000
66,2,1,65,40000
76,3,2,76,2300000
61,3,1,61,60000
77,4,3,77,7000000
70,3,2,71,725000
72,4,2,71,725000
69,2,3,69,350000
75,3,2,74,1200000
72,3,2,72,725000
69,3,2,69,325000
69,4,3,67,260000
73,3,1,74,2300000
83,4,2,83,10500000
60,3,3,60,70000
65,2,1,65,300000
68,4,2,69,600000
71,2,2,71,1200000
69,2,1,67,50000
78,3,2,74,3200000
70,3,3,69,325000
69,3,2,67,100000
82,3,2,81,10000000
77,3,2,77,3600000
56,2,2,54,30000
70,3,1,70,1000000
69,4,1,73,1600000
66,2,3,66,600000
65,2,1,64,260000
68,3,3,68,550000
65,3,2,65,280000
60,4,2,60,120000
68,3,3,67,180000
63,4,3,63,180000
66,3,3,66,300000
80,3,2,80,4500000
68,1,2,67,160000
62,3,1,62,40000
75,3,3,73,3100000
72,3,2,71,950000
75,5,3,75,6000000
64,2,1,64,180000
83,4,3,81,15500000
76,2,4,75,5000000
73,2,1,73,950000
67,3,1,67,375000
74,3,1,73,270000
67,3,2,67,375000
74,4,3,73,1500000
73,3,2,73,1600000
62,3,2,62,90000
59,2,1,59,10000
76,4,2,75,5000000
81,4,1,82,12500000
70,4,4,69,650000
69,4,2,68,525000
68,4,4,69,450000
65,3,1,64,110000
64,3,2,65,160000
73,2,1,72,210000
67,3,1,67,180000
68,4,3,66,350000
76,3,1,77,600000
74,3,2,74,1700000
84,3,3,84,11000000
72,1,1,72,425000
72,3,2,72,2400000
70,3,1,70,1000000
65,2,1,65,130000
72,3,3,71,1200000
74,3,1,75,2700000
68,2,2,68,120000
70,3,1,70,725000
72,3,3,75,2000000
69,3,2,69,700000
83,3,2,82,8500000
70,2,1,74,2300000
76,3,2,77,1200000
68,3,2,69,325000
67,3,1,67,180000
70,3,1,70,120000
81,2,1,81,9000000
70,3,2,70,240000
75,3,1,76,3900000
72,3,2,72,425000
65,2,2,69,250000
74,3,1,73,550000
66,4,1,67,375000
66,4,4,65,325000
68,4,3,67,675000
81,3,1,80,7500000
75,5,3,73,1700000
80,3,2,78,4200000
81,2,2,80,6000000
65,3,3,64,280000
74,3,3,74,4400000
72,3,3,70,600000
78,3,2,78,1400000
74,4,2,73,1700000
82,5,4,82,10000000
67,3,1,67,300000
77,3,1,77,1200000
79,3,1,77,4500000
68,3,1,68,210000
75,3,2,74,1300000
68,3,1,66,400000
71,3,3,70,625000
81,3,1,81,4200000
69,2,3,69,350000
69,3,1,69,650000
75,3,1,73,270000
67,3,3,67,600000
69,1,1,66,325000
66,3,1,65,270000
64,4,1,63,150000
73,3,1,74,1300000
77,3,2,74,2300000
60,3,1,59,20000
88,3,2,86,13500000
72,3,1,71,325000
70,3,1,70,725000
78,2,3,77,4700000
72,4,2,71,725000
80,3,1,79,7000000
75,3,1,74,2800000
82,3,3,81,13500000
71,3,2,69,325000
64,3,1,64,230000
70,4,2,70,675000
65,3,1,65,325000
65,2,1,66,260000
75,4,3,74,3500000
59,3,2,62,90000
76,2,2,78,4800000
72,3,2,70,240000
70,3,2,70,725000
