Rating,Weak_foot,Skill_Moves,Potential,WageUnified
69,3,3,70,7000
70,3,1,70,4000
88,4,4,87,260000
77,3,2,79,26000
59,2,1,57,1000
69,3,3,69,16000
75,3,2,75,14000
65,3,2,65,4000
76,3,2,75,30000
88,2,1,89,110000
68,3,2,66,2000
76,4,1,75,60000
77,1,1,77,26000
66,3,2,64,8000
77,3,3,78,13000
58,3,3,62,2000
74,3,3,76,12000
74,3,2,73,8000
73,3,3,74,16000
71,2,1,72,4000
58,2,1,58,1000
66,3,2,67,3000
78,3,2,77,14000
82,2,1,83,10000
77,2,1,76,13000
80,3,2,79,53000
76,3,2,76,14000
66,2,1,66,3000
82,4,2,79,10000
80,3,4,78,72000
73,4,2,73,13000
87,2,4,88,225000
81,3,4,81,22000
67,2,2,67,5000
70,3,1,69,3000
71,3,3,70,6000
68,3,2,69,6000
63,4,2,62,2000
61,4,3,62,4000
70,2,1,70,5000
60,2,2,58,2000
45,2,1,46,1000
57,3,1,57,1000
63,3,3,63,1000
68,2,2,68,10000
70,4,2,70,6000
81,4,2,78,27000
61,3,2,61,3000
75,3,1,75,11000
76,4,1,72,3000
63,3,2,62,3000
79,3,1,78,5000
74,3,2,73,14000
70,3,2,71,5000
71,3,2,71,6000
74,3,1,73,8000
63,3,1,63,1000
70,2,1,69,18000
76,3,2,76,83000
65,3,2,65,3000
63,2,2,63,4000
61,3,1,61,2000
69,3,2,70,4000
70,3,2,66,8000
74,3,2,72,3000
84,4,3,83,145000
72,2,1,73,4000
64,4,2,65,1000
67,3,3,66,1000
83,4,5,83,67000
94,4,5,94,565000
82,3,2,80,86000
61,4,3,59,1000
74,3,2,73,5000
83,3,1,83,59000
66,3,1,64,3000
70,3,1,68,14000
65,3,2,64,2000
73,3,3,71,4000
79,3,3,77,9000
72,2,1,72,2000
73,2,3,71,4000
74,3,3,72,14000
73,3,2,72,4000
70,4,2,71,4000
67,3,2,64,5000
90,4,4,88,240000
71,3,2,68,4000
68,3,3,69,4000
72,4,2,72,4000
72,2,2,73,7000
71,3,2,71,15000
70,2,2,69,10000
71,3,2,72,4000
78,3,3,78,20000
69,3,3,69,4000
67,4,2,68,8000
72,3,2,71,5000
73,4,3,71,16000
77,3,2,77,23000
71,3,2,70,3000
76,3,2,76,8000
73,3,3,72,4000
73,4,2,73,8000
76,3,2,75,26000
64,5,4,64,1000
67,3,1,67,4000
77,2,1,76,1000
72,2,2,72,15000
81,3,1,80,8000
74,4,2,73,14000
88,3,1,86,92000
75,3,1,74,6000
69,4,2,69,3000
80,3,1,79,12000
68,4,2,68,6000
72,2,2,71,10000
72,3,1,71,17000
81,4,3,81,68000
81,4,3,81,81000
76,3,1,74,17000
67,3,3,67,8000
75,3,3,75,23000
67,3,2,66,1000
66,1,2,67,4000
70,3,4,71,5000
71,4,2,71,19000
70,2,2,68,5000
69,3,2,69,16000
70,4,3,70,6000
81,4,3,80,87000
71,3,3,71,40000
67,3,2,65,1000
67,2,1,66,9000
71,4,3,72,4000
68,3,2,68,3000
78,4,2,75,18000
66,4,3,66,3000
75,3,3,74,47000
73,2,1,73,42000
68,4,2,70,29000
67,3,3,66,4000
72,3,3,70,7000
67,2,3,68,6000
70,3,2,70,9000
75,4,3,75,7000
69,3,3,68,4000
65,3,2,65,2000
