Name,ValueUnified
Neymar,123000000.00
Lionel Messi,105000000.00
Luis Suárez,97000000.00
Cristiano Ronaldo,95500000.00
Robert Lewandowski,92000000.00
Eden Hazard,90500000.00
Kevin De Bruyne,83000000.00
Toni Kroos,79000000.00
Paulo Dybala,79000000.00
Gonzalo Higuaín,77000000.00
Antoine Griezmann,75000000.00
Thiago,70500000.00
Gareth Bale,69500000.00
Alexis Sánchez,67500000.00
Sergio Agüero,66500000.00
Paul Pogba,66500000.00
Christian Eriksen,65000000.00
De Gea,64500000.00
Marco Verratti,64500000.00
Manuel Neuer,61000000.00
Pierre-Emerick Aubameyang,61000000.00
Mesut Özil,60000000.00
Thibaut Courtois,59000000.00
Romelu Lukaku,59000000.00
Harry Kane,59000000.00
Luka Modric,57000000.00
Jan Oblak,57000000.00
Isco,56500000.00
Coutinho,56000000.00
James Rodríguez,56000000.00
N'Golo Kanté,52500000.00
Sergio Ramos,52000000.00
Yannick Carrasco,51500000.00
Ivan Rakitic,48500000.00
Marek Hamšik,48500000.00
Edinson Cavani,48500000.00
Alexandre Lacazette,48500000.00
Mats Hummels,48000000.00
Jérôme Boateng,48000000.00
Thomas Müller,47500000.00
Raphaël Varane,46500000.00
Diego Costa,46000000.00
Ilkay Gündogan,46000000.00
Marco Asensio,46000000.00
Marco Reus,45000000.00
Lorenzo Insigne,45000000.00
Karim Benzema,44500000.00
David Alaba,44500000.00
David Silva,44000000.00
Leonardo Bonucci,44000000.00
Alex Sandro,44000000.00
Miralem Pjanic,43500000.00
Bernardo Silva,43500000.00
Dries Mertens,43000000.00
Dele Alli,43000000.00
Radja Nainggolan,42500000.00
Casemiro,42000000.00
Mauro Icardi,42000000.00
Kylian Mbappe Lottin,41500000.00
Cesc Fàbregas,41000000.00
Morata,41000000.00
Toby Alderweireld,40500000.00
Diego Godín,40000000.00
Ousmane Dembélé,40000000.00
Koke,39500000.00
Julian Draxler,39500000.00
Henrikh Mkhitaryan,39000000.00
Sadio Mané,39000000.00
Thomas Lemar,38500000.00
Giorgio Chiellini,38000000.00
Hugo Lloris,38000000.00
Marcelo,38000000.00
Piqué,37500000.00
Arturo Vidal,37500000.00
Ángel Di María,37500000.00
Azpilicueta,37500000.00
Andrea Belotti,37000000.00
Arjen Robben,36000000.00
Javi Martinez,36000000.00
Sergio Busquets,36000000.00
Marc-André ter Stegen,35500000.00
Aymeric Laporte,35500000.00
Eric Bailly,35500000.00
Kevin Strootman,35000000.00
Sokratis,34500000.00
Leroy Sané,34500000.00
Thiago Silva,34000000.00
Bernd Leno,34000000.00
Roberto Firmino,34000000.00
João Mário,34000000.00
Naby Keïta,34000000.00
Claudio Marchisio,33000000.00
David Luiz,33000000.00
Anthony Martial,33000000.00
Kalidou Koulibaly,32500000.00
Mohamed Salah,32500000.00
Keita Baldé Diao,32500000.00
Ander Herrera,32000000.00
Carvajal,32000000.00
