Kevin De Bruyne,DeBruyneKev,1202611
Name,BTS_twt,11012014
Manuel Neuer,Manuel_Neuer,4050683
Bernard,b_10duarte,1163011
Lionel Messi,Lionel_Messi,963663
Eden Hazard,hazardeden10,5191814
Christian Eriksen,ChrisEriksen8,540318
Marco Verratti,MarcoVerratti1,294260
Raffael,RaffaelM_Cantor,555914
David Alaba,David_Alaba,1567742
Paulo Dybala,PauDybala_JR,983474
Toni Kroos,ToniKroos,6067274
Mesut Özil,MesutOzil1088,20379782
Cristiano Ronaldo,Cristiano,66003117
Ljubomir Fejsa,LjubomirFejsa,5168
Luka Modric,lm19official,439336
Jean Michaël Seri,JeanMichaelseri,97
Neymar,neymarjr,35995606
Robert Lewandowski,lewy_official,1005679
Kingsley Coman,kingsleeeeyy,4922
Romelu Lukaku,RomeluLukaku9,1190472
Pierre-Emerick Aubameyang,Quadibaba,1396
William Carvalho,wllmcarvalho14,7816
David Silva,21LVA,3688465
Miralem Pjanic,Miralem_Pjanic,318553
Stephan El Shaarawy,OfficialEl92,1517011
Dele Alli,dele_official,485192
Marquinhos,marquinhos_m5,252086
Quincy Promes,QPromes,12064
Willian José,willianjose19,110301
Granit Xhaka,GrantXhaka,22741
André Schürrle,Andre_Schuerrle,1941168
Dries Mertens,dries_mertens14,684867
Leonardo Bonucci,bonucci_leo19,1454462
Bas Dost,12basdost,1712
Bernardo Silva,BernardoCSilva,214221
Sergio Agüero,aguerosergiokun,12652127
Alex Sandro,alexsmarcelo,778
Roman Bürki,RBuerki1,97667
Danny Welbeck,DannyWelbeck,138995
Grimaldo,Julietita_Anto,14171
Ivan Rakitic,ivanrakitic,825589
Eder,LindaEderTweets,3094
Marco Reus,woodyinho,2959705
Ibrahima Traoré,TraoreIbra16,30354
Arturo Vidal,kingarturo23,3727607
Coutinho,Phil_Coutinho,1207167
Alexis Sánchez,Alexis_Sanchez,2423978
Sergio Busquets,allBUSQUETS,9839
Gonzalo Higuaín,G_Higuain,6717808
Antoine Griezmann,AntoGriezmann,4768518
Thorgan Hazard,HazardThorgan8,260573
Gabriel Jesus,gabrieljesus33,284389
Paul Pogba,paulpogba,4419271
Ilkay Gündogan,IlkayGuendogan,524975
Keita Baldé Diao,keitabalde14,69964
Marcelo,MarceloM12,9511979
Azpilicueta,CesarAzpi,1680023
Samir Handanovic,SHandanovic1_ID,9264
Gareth Bale,GarethBale11,15801888
Kevin Strootman,Kevin_strootman,599937
Thomas Müller,esmuellert_,3849604
Raheem Sterling,sterling7,1364025
Jasper Cillessen,JasperCillessen,89813
André Gomes,aftgomes,239309
Nabil Bentaleb,nabilbentaleb42,1063253
Arjen Robben,ArjenRobben,52329
Cesc Fàbregas,cesc4official,9688322
Luis Suárez,LuisSuarez9,12630132
Casemiro,Casemiro,1252949
Fabinho,fabioalves_3,4086
Raphaël Varane,raphaelvarane,4262439
De Gea,D_DeGea,9886941
Ángel Correa,AngelCorrea32,147143
Alexandre Lacazette,LacazetteAlex,805456
Vitolo,VitoloMachin,118706
Ander Herrera,AnderHerrera,2146050
Thiago,Thiago6,3178234
Corentin Tolisso,CorentinTolisso,125839
Serge Aurier,Serge_aurier,245347
Sergio Rico,sergiorico25,58483
Luis Muriel,luisfmuriel09,668978
Oyarzabal,mikeloyar11,8756
João Moutinho,JoaoMoutinho,273767
Blaise Matuidi,MATUIDIBlaise,2263099
Kylian Mbappe Lottin,Atom_RM,2682
Daniele Baselli,Baselli,15319
Niklas Süle,nsuele25,256
Nabil Fekir,NabilFekir,144928
Isco,isco_alarcon,4550224
Karim Benzema,Benzema,7504658
Harry Kane,HKane,1360530
John Brooks,j_brooks25,238028
Radja Nainggolan,OfficialRadja,545078
Ousmane Dembélé,Dembouz,453839
Paul-Georges Ntep,PGNtep,68424
Mats Hummels,matshummels,1945000
Pedro,_Pedro17_,4478841
Saúl,mrbobodenkirk,480653
Francesco Acerbi,Acerbi_Fra,57540
Sokratis,Sokratis,2608
Javier Hernández,CH14_,8695937
Toby Alderweireld,AlderweireldTob,362063
Carvajal,DaniCarvajal92,2925771
Samuel Umtiti,samumtiti,506399
Kalidou Koulibaly,kkoulibaly26,67618
Youri Tielemans,ytielemans,54339
Jan Oblak,Oblakjan13,2924
Alex Telles,alex_Telles_,3028
Jan Vertonghen,JanVertonghen,815978
Kostas Manolas,KostasManoIas44,107
Leon Goretzka,LeonGorre,4466
Jack Wilshere,JackWilshere,2960992
Lars Stindl,stindl28,40223
Mauro Icardi,MauroIcardi,1262352
Koke,Koke6,844978
Julian Brandt,julian_brandt,599
Eric Bailly,ericbailly24,644169
Bernd Leno,Bernd_Leno,134557
Naby Keïta,Naby_Kieta6,4249
André-Pierre Gignac,10APG,1213866
Lorenzo Insigne,lorenzoinsigne1,44558
Stefan Savic,IAmTheLaw65,88
Yannick Carrasco,CarrascoY21,102603
Zé Luís,ZeLuisMusic,577
Sergio Ramos,SergioRamos,13336694
Morata,AlvaroMorata,4086192
Thiago Silva,tsilva3,127100
Thibaut Courtois,thibautcourtois,1960883
Iñigo Martínez,InigoMartinez,195773
James Rodríguez,jamesdrodriguez,15085201
Wilfried Zaha,wilfriedzaha,792036
Mohamed Salah,22mosalah,3635597
